, sugar, ginger, garam masala, ghee, curry leaves, jaggery, urad dal,Rice flour, milk, tomato, garam masala powder, mustard oil,Chana dal, sesame seeds, saffron, turmeric, coconut,Whole wheat flour, clarified butter, cardamom, gram flour, mustard seeds, lemon juice, garlic, potato,Urad dal, baking soda,Rice, salt,Wheat flour,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,list of ingred,clust
204,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sev tameta,"Sev, ginger, tomato, sugar",1,1,30,3,1,Gujarat,6,"['Sev', ' ginger', ' tomato', ' sugar']",2
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",1,0,35,3,2,Gujarat,6,"['Wheat flour', ' baking soda', ' all purpose flour', ' black pepper', ' sunflower oil']",13
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sukhdi,"Whole wheat flour, gur, clarified butter",1,0,20,4,0,Maharashtra,6,"['Whole wheat flour', ' gur', ' clarified butter']",11
207,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",1,2,10,3,2,Maharashtra,6,"['Rice flakes', ' yogurt', ' raw rice', ' jaggery', ' grated coconut']",2
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",1,1,30,3,1,Maharashtra,6,"['Whole wheat flour', ' rice flour', ' pearl millet flour', ' sorghum flour', ' sesame seeds']",2
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",1,1,60,3,1,Gujarat,6,"['Sweet potato', ' surti papdi', ' baby potatoes', ' valor papdi', ' green peas']",2
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",1,1,30,3,1,Maharashtra,6,"['Gobi', ' potato', ' beans', ' khus khus', ' coconut']",2
211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",0,0,40,3,1,Goa,6,"['Chicken', ' coconut oil', ' wine vinegar', ' ginger', ' green', ' cinnamon']",13
212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",1,2,6,3,2,Gujarat,6,"['Green garlic chutney', ' fresh green peas', ' ginger', ' lemon juice', ' plain flour']",2
213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",1,0,0,3,2,Gujarat,6,"['Moong beans', ' jaggery', ' red chillies', ' oil', ' salt']",13
